topic_id,source_id,registered_in_sources_json,cited_role,exact_locator_available,media_artifact_path,findings_supported,findings_contradicted,findings_qualified,notes
g13-colonial-weymouth-community,nash-historical-sketch-weymouth-1885,yes,supports;context_for;negative_within_scope,yes,sources/corpus_supplement/nash-historical-sketch-weymouth-1885-gurney-extracts.md,G13-RI-000018;G13-RI-000044;G13-RI-000045,,G13-RI-000021,"Appendix C 1643 record (inhabitant standing, RI-000018) + p.160 Rev. Thomas Jenner biography (context_for the credit tie, RI-000021). Thread 3 added: p.280 1636 Fresh Pond great-lot roll grounds the absence negative (RI-000044, negative_within_scope); pp.281-282 1651-52 great-lot lists support the proprietary-right-not-residence analysis (RI-000045)."
g13-colonial-weymouth-community,massachusetts-bay-records-v2-1853,yes,supports,yes,,G13-RI-000020,,G13-RI-000021,MBCR vol.2 p.79; the 1644 £5 'Mr Ginner' bill (source_evidence RI-000020) supports the Jenner credit-tie finding (RI-000021); also context_for the military negative (RI-000023).
g13-colonial-weymouth-community,history-of-weymouth,yes,supports;context_for,yes,,G13-RI-000022;G13-RI-000045;G13-RI-000046,,G13-RI-000021,"Identifies 'Mr Ginner' as Rev. Thomas Jenner ('Mr. Thom: Ginner (Jenner)', deputy 1640) — context_for the credit tie (RI-000021); and supports the associate-network facts (James Ludden an 'Old Planter'; John King of King's Cove) in RI-000022. Thread 3 added: vol.3/vol.4 p.151 identify the 1651-52 absentee cohort-mates and John Read comparator (context_for RI-000045) and the Aylesbury-Vale Bucks neighbour cluster + Mass. Archives 129:16 deposition (supports the reception analysis RI-000046)."
g13-colonial-weymouth-community,massachusetts-bay-records-v1-1853,yes,supports;context_for,yes,,G13-RI-000022,,,"MBCR 1:331 gunpowder record (existing RI-000001, arrival topic) names Ludden & Porter — cross-topic support for the associational finding (RI-000022); also context_for the military negative (RI-000023)."
g13-colonial-weymouth-community,porter-genealogy-richard-porter-1878,yes,context_for,yes,sources/corpus_supplement/porter-genealogy-richard-porter-1878-gurney-extract.md,G13-RI-000022,,,Richard Porter a 1635 Weymouth settler; 'Ludden and Gurney were of Weymouth' — context for the associational finding.
g13-colonial-weymouth-community,spr-case-338-john-gurney-probate-1663,yes,supports,yes,sources/corpus_supplement/john-gurney-probate-inventory-spr-case-338.md,G13-RI-000022,,,Estate debt to 'Goodman King of Waymouth' — residual Weymouth creditor tie (RI-000022).
g13-colonial-weymouth-community,nehgr-12-suffolk-wills-1858,yes,supports,yes,sources/corpus_supplement/john-gurney-probate-inventory-spr-case-338.md,G13-RI-000022,,,"Suffolk Wills abstract of the estate debts, including Goodman King of Weymouth (RI-000022)."
g13-colonial-weymouth-community,familysearch-fulltext-search,yes,negative_within_scope,yes,,G13-RI-000023,,,Gurn-variant sweep of MA Bay military/court records & the Military Company roll 1637-1652; establishes the no-active-military-service negative (RI-000023).
g13-colonial-frontier-rights,billerica-town-records-ms,yes,supports,yes,sources/corpus_supplement/billerica-town-records-gurney-1659-1660.md,G13-RI-000024;G13-RI-000029,,,Manuscript town book: 1659 ten-acre grant 'upon condition' + 26 Dec 1659 surrender 'Daniel Shead in answer for his father John Gurney.' Direct evidence (RI-000024) for the Billerica absentee-share finding (RI-000029).
g13-colonial-frontier-rights,hazen-billerica-1883,yes,supports,yes,,G13-RI-000025;G13-RI-000029,,,"History of Billerica pp.33-34: 10 Sep 1659 Dudley-Farm rate + Nov 1659 upland division 'Peter Bracket and Joseph Tompson holding in common the right of John Gurney, of Braintree' (absentee share). RI-000025 supports RI-000029."
g13-colonial-frontier-rights,shedd-daniel-shed-genealogy-1920,yes,context_for,yes,,G13-RI-000029,,,Daniel Shed m. Mary Gurney 1647 -> John's son-in-law; identifies the man who surrendered the Billerica lot 'for his father John Gurney' (context_for RI-000029).
g13-colonial-frontier-rights,braintree-records-1640-1793-1886,yes,context_for,yes,,G13-RI-000029,,,"Bates, Records of the Town of Braintree (1886): the seven Daniel-and-Mary (Gurney) Shed births 1647-1658 - the primary town-record witness to the 1647 marriage that makes Daniel John's son-in-law (behind the 'in answer for his father John Gurney' Billerica surrender). Second representation alongside the compiled shedd-daniel-shed-genealogy-1920 (context_for RI-000029). Thread 5 (2026-07-05): resolves the l.115 Billerica journey gap - braintree-records was previously linked in record-coverage only."
g13-colonial-frontier-rights,ballou-history-of-milford-1882,yes,supports,yes,,G13-RI-000026,,,"History of Milford pp.27-35: John among the Braintree men accepted to Mendon allotments, 1662 (source_evidence RI-000026)."
g13-colonial-frontier-rights,mendon-proprietors-records-1899,yes,qualifies,yes,,G13-RI-000032,,G13-RI-000026,Proprietors' Records (post-1667 incorporation): John Gurny & Grisel Gurney as 20-acre lot-holders. Qualifies the 1662 Mendon acceptance (RI-000026) via the chronology open-question RI-000032; the post-death widow/descendants stream stays backlog for g13-family-mendon-descendants.
g13-colonial-frontier-rights,spr-case-338-john-gurney-probate-1663,yes,supports,yes,sources/corpus_supplement/john-gurney-probate-inventory-spr-case-338.md,G13-RI-000027;G13-RI-000030,,,The 1663 inventory line 'an estate layd out in land at Quinapaug wch we know not' (RI-000027) supports the unrecorded-frontier-share finding (RI-000030).
g13-colonial-frontier-rights,nehgr-12-suffolk-wills-1858,yes,context_for,yes,sources/corpus_supplement/john-gurney-probate-inventory-spr-case-338.md,G13-RI-000027,,,Suffolk Wills abstract (55 pounds 14s 6d estate total); the Quinapaug land line is absent from the printed abstract - context_for RI-000027.
g13-colonial-frontier-rights,familysearch-fulltext-search,yes,context_for,yes,,G13-RI-000028;G13-RI-000030,,,Suffolk Deeds Lib.IV pp.270-271 read via FTS images (film 007442495 img 191): Foote 1655 Indian purchase 'att Quinapaug within ye Jurisdiction of Providence' -> Hudson 1660; no Gurney in the recorded deeds. Grounds the Providence-jurisdiction reading (RI-000028 -> RI-000030).
g13-colonial-frontier-rights,suffolk-deeds-liber-iv-1888,yes,context_for,yes,,G13-RI-000028,,,"Printed Suffolk Deeds Liber IV pp.268,270-271 (Quinapaug conveyances) - printed-edition locator paired with the FTS image read; context_for RI-000028."
g13-colonial-frontier-rights,nash-historical-sketch-weymouth-1885,yes,context_for,yes,sources/corpus_supplement/nash-historical-sketch-weymouth-1885-gurney-extracts.md,G13-RI-000031,,,"Appendix C p.282 great lot no.16 (Second Division, 2 Feb 1651/2) granted to John after he had left Weymouth - the earliest instance of the proprietary-right-without-residence pattern. Thread 5 (2026-07-05): now linked context_for to the frontier analysis RI-000031 (was prose-cross-link-only), resolving the Plan 2b s4.1 Nash prose-to-graph parity gap. Cross-unit comparator - the great lot's landholding-context home is g13-colonial-arrival-chronology and its 1651-52 proprietary-right analysis is g13-colonial-weymouth-community RI-000045."
g13-colonial-material-life,spr-case-338-john-gurney-probate-1663,yes,supports;negative_within_scope,yes,sources/corpus_supplement/john-gurney-probate-inventory-spr-case-338.md,G13-RI-000033;G13-RI-000034;G13-RI-000035;G13-RI-000037,,G13-RI-000036,"Manuscript inventory (Case #338, 16 March 1663): itemized movable estate (source_evidence RI-000033) supports the livestock/husbandry profile (RI-000034), sparse-household (RI-000035), and all-movable-estate analysis (RI-000037); the full line-scan grounds the no-tailoring-tools negative (negative_within_scope, RI-000036)."
g13-colonial-material-life,nehgr-12-suffolk-wills-1858,yes,context_for,yes,sources/corpus_supplement/john-gurney-probate-inventory-spr-case-338.md,G13-RI-000033,,,Suffolk Wills abstract (55 pounds 14s 6d total + appraisers + debtor names); carries the total but not the line-item goods or the Quinapaug line - context_for the itemized evidence RI-000033.
g13-colonial-record-coverage,anderson-gmd-2015,yes,supports;negative_within_scope,yes,sources/corpus/The Great Migration Directory 2025 Page 158.txt,G13-RI-000039,,G13-RI-000041;G13-RI-000042,"Anderson GMD p.158 = published coverage summary: origin 'Unknown', arrival 1636, settlements Boston/Braintree (Weymouth excluded), six cited records (WJ 2:422; MBCR 1:331; NEHGR 62:94; SPR #338; Weymouth Hist 3:251; TAG 10:70-73). source_evidence RI-000039 supports the footprint finding RI-000038; grounds the origin-silence negative RI-000042 and the vital/church-silence negative RI-000041 (negative_within_scope)."
g13-colonial-record-coverage,braintree-records-1640-1793-1886,yes,qualifies,yes,,,,G13-RI-000041,"1886 Braintree town-record edition pp.638,717: the sole vital line matching John's traditional 1661 remarriage/wife-death is printed under 'John Cheny'/'Grizell Kidbee' - qualifies vital-record negative RI-000041 (a distinct reading/identity question, deferred; counted as neither a surviving nor an absent Gurney vital record)."
g13-colonial-record-coverage,massachusetts-bay-records-v1-1853,yes,cross_unit,yes,,G13-RI-000038,,,"Prose cross-link only (no graph item here): MBCR 1:331 (2 June 1641 gunpowder remission = earliest secure record) + the 1644 Jenner-bill acceptance, characterizing the colony court/account record class in footprint finding RI-000038; home units g13-colonial-arrival-chronology (RI-000001) and g13-colonial-weymouth-community."
g13-colonial-record-coverage,suffolk-deeds-liber-iv-1888,yes,cross_unit,yes,,G13-RI-000038,,,"Prose cross-link only: the 1661/2 Monatiquot conveyance signed by mark = the sole autograph-bearing record, cited to characterize the footprint (RI-000038) and the sole-personal-record analysis (RI-000040); home unit g13-colonial-braintree-community (RI-000013)."
g13-colonial-record-coverage,nehgr-62-94,yes,cross_unit,yes,,G13-RI-000040,,,"Prose cross-link: the 1653 Wilson v. Faxon deposition (NEHGR 62:94) = the sole personal-attribute record, grounding analysis RI-000040 (DEPENDS_ON deposition RI-000010); deposition home unit g13-colonial-braintree-community. Birth-year inference deferred to g13-origin-age-baptism."
g13-colonial-record-coverage,spr-case-338-john-gurney-probate-1663,yes,cross_unit,yes,sources/corpus_supplement/john-gurney-probate-inventory-spr-case-338.md,G13-RI-000038,,,Prose cross-link: John's own 1663 estate inventory (SPR #338) = the closing record of the footprint (RI-000038 SYNTHESIZES probate evidence RI-000027); home units g13-colonial-frontier-rights / g13-colonial-material-life.
g13-colonial-record-coverage,nehgr-12-suffolk-wills-1858,yes,cross_unit,yes,sources/corpus_supplement/john-gurney-probate-inventory-spr-case-338.md,G13-RI-000038,,,"Prose cross-link: NEHGR 12 Suffolk Wills abstract of the 1663 estate (55 pounds 14s 6d), paired with SPR #338 as the closing footprint record; home units g13-colonial-frontier-rights / g13-colonial-material-life."
g13-colonial-record-coverage,anderson-great-migration-begins-v1-baxter,yes,cross_unit,yes,sources/corpus_supplement/anderson-great-migration-begins-v1-baxter-user-extract.md,G13-RI-000038,,,"Prose cross-link: John as witness/appraiser of Gregory Baxter's 1659 estate (Anderson GMB, Baxter profile) = the probate-office record class in footprint finding RI-000038; home unit g13-colonial-braintree-community (RI-000015/016)."
g13-colonial-braintree-community,familysearch-fulltext-search,yes,supports,yes,,G13-RI-000013,,,Thread 4 (2026-07-05): Suffolk Deeds registry copy of the 1661/2 Gurney-Thayer conveyance read via FamilySearch full-text search ('John Gurney of Braintry Taylor'); linked to the deed source_evidence RI-000013 as a second manuscript-registry representation alongside bates + suffolk-deeds-liber-iv-1888. Resolves the l.184 and case-file s10 journey gaps.
g13-colonial-braintree-community,adams-history-of-braintree-1891,yes,context_for,yes,,G13-RI-000011,,,"Thread 4 (2026-07-05): Adams, History of Braintree (1891) p.5 - Tyng's 1639 Mount Wollaston purchase and non-resident proprietorship; context_for the Tyng-leasehold item RI-000011. Resolves the immigration-topic 1640s-gap journey gap for this source."
g13-colonial-braintree-community,adams-genesis-massachusetts-town-1892,yes,context_for,yes,,G13-RI-000011,,,"Thread 4 (2026-07-05): Adams, 'Genesis of the Massachusetts Town' (1892) - non-resident-proprietor doctrine behind the absentee Mount Wollaston/Braintree allotments; context_for the Tyng-leasehold item RI-000011. Resolves the immigration-topic 1640s-gap journey gap for this source."
g13-colonial-braintree-community,sprague-braintree,yes,supports,yes,,G13-RI-000047,,,"Thread 4 (2026-07-05): Sprague, Genealogies of the Families of Braintree p.695 (John Gurney entry) - compiled derivative genealogy recording John as a Braintree tailor; supports the canonical occupation finding RI-000047 as published corroboration (not independent primary evidence). Resolves the fact-sheet Vitals-Occupation, case-file s1, and immigration-topic sprague journey gaps."
g13-colonial-material-life,fs-suffolk-probate-1636-1915,yes,supports,yes,,G13-RI-000033,,,"Thread 4 (2026-07-05): FamilySearch digitisation of the Suffolk probate file papers (DGS 102840311, Case #338 image 516) - the digital-image representation of the same manuscript inventory RI-000033. Resolves the case-file s1 journey gap for this source."
g13-colonial-material-life,suffolk-probate-index-v2-1895,yes,discovery_only,yes,,G13-RI-000033,,,"Thread 4 (2026-07-05): George, Index to the Probate Records of Suffolk vol.2 (1895) - discovery/finding-aid confirming Gurney case no.338; discovery_only link on the inventory evidence RI-000033. Its canonical home per Plan 2b s5; resolves the l.107 and case-file s1 journey gaps for this source."
g13-research-source-coverage,ancestry-english-adventurers-emigrants-1609-1660,yes,negative_within_scope,yes,,G13-RI-000048;G13-RI-000053,,,"Coldham, English Adventurers & Emigrants 1609-1660 (Ancestry dbid 49150), Gurn* wildcard: only 'Gurnard's Head, Bermuda' place hits (negative_within_scope RI-000048). Same 2026-07-03 'Coldham' card-catalog sweep grounds the residual clause of the coverage synthesis RI-000053 (CBE 1607-1660 not on Ancestry). Registered v1.8.0 + validation worksheet."
g13-research-source-coverage,ancestry-emigrants-in-bondage-1614-1775,yes,negative_within_scope,yes,,G13-RI-000049,,,"Coldham, Emigrants in Bondage 1614-1775 (Ancestry dbid 61074), Gurn* wildcard: earliest Gurney 1683, none in 1614-1665 window (negative_within_scope RI-000049). Registered v1.8.0 + validation worksheet."
g13-research-source-coverage,ancestry-child-apprentices-christs-hospital-1617-1778,yes,negative_within_scope,yes,,G13-RI-000050,,,"Coldham, Child Apprentices in America from Christ's Hospital 1617-1778 (Ancestry dbid 49104), Gurn* wildcard: four hits all 18th-c. (negative_within_scope RI-000050). Registered v1.8.0 + validation worksheet."
g13-research-source-coverage,nehh-congregational-library-colonial-church-records,yes,negative_within_scope,yes,,G13-RI-000051,,,"New England's Hidden Histories (Congregational Library) holdings check: no pre-1690 church book for John's towns (Braintree First begins 1697, Boston First 1690, Dorchester First 1727; no Weymouth/Mendon) - negative_within_scope RI-000051. Registered v1.8.0 + validation worksheet."
g13-research-source-coverage,digital-commonwealth,yes,negative_within_scope,yes,,G13-RI-000052,,,Digital Commonwealth (MA statewide aggregator): 'Gurney Braintree' zero items (negative_within_scope RI-000052). Registered v1.8.0 + validation worksheet.
g13-research-open-questions,ftdna-gurney-ydna,yes,context_for,yes,sources/corpus_supplement/ftdna-gurney-ydna-braintree-line-2026.md,G13-RI-000056,,,"FTDNA Gurney project Braintree kit 576097 (Big Y-700, terminal R-FTD83678 within R1b>DF19>R-Z27053); carried in-unit on open_question RI-000056 (context_for) and journeys from the legacy Y-DNA block."
g13-research-open-questions,anderson-gmd-2015,yes,cross_unit,yes,,G13-RI-000042,,,Prose cross-link only (no graph item in this unit): Anderson GMD p.158 origin 'Unknown' frames the origin open question; canonical home g13-colonial-record-coverage RI-000042. cross_unit exempts the prose-graph parity gate.
g13-research-open-questions,banks-brownell-1937,yes,context_only,yes,,,,,"Prose citation with no in-unit item link: Banks p.151 Bury St Edmunds attribution, carried as a lead-level datum and redirected to the Newgate apprentice (case file s8.5); no graph item asserts it. context_only exempts the parity gate."
g13-family-wives-marriages,braintree-records-1640-1793-1886,yes,supports,yes,,G13-RI-000058;G13-RI-000062;G13-RI-000063,,,"Braintree town record (Bates 1886) pp. 717 (marriage line 'John Cheny Senior and Grizell Kidbee') and 638 (wife-death 'Cheny the wife of John Cheny'). Printed evidence RI-000058; the primary-record witness to the second marriage (RI-000062, p.717) and to first-wife Mary's 20 Sep 1661 death (RI-000063, p.638). Read as Gurney via the manuscript finding RI-000061."
g13-family-wives-marriages,familysearch-fulltext-search,yes,supports,yes,,G13-RI-000059,,,"Braintree town-record manuscript (DGS 007009769): fair-copy marriages register p.174 ink 'John Girny, Senior', bride surname blank, 'Cheny/Kidbee' a later pencil margin note; original deaths page ambiguous letterform. Manuscript source_evidence RI-000059; second representation of the same 1661 records as braintree-records."
g13-family-wives-marriages,pope-pioneers-of-massachusetts-1900,yes,supports,yes,,G13-RI-000060,,,"Pope, Pioneers of Massachusetts (1900), GURNET/GORNET entry: printed Braintree 'John Cheny, Sen.' ruled a typographical error for John Gurney. published_source_statement RI-000060. NEW source registered in data/sources.json v1.9.0 + validation worksheet."
g13-family-wives-marriages,tag-10-70,yes,supports,yes,,G13-RI-000062,,,"Holman, 'Grissell of the Many Marriages,' TAG 10:70-73: 12 Nov 1661 Braintree marriage by Peter Brackett to 'John Gurney Sr.'; husband sequence Jewell-Griggs-Kibbee-Gurney-Burge; compiled Fletcher/Chelmsford parentage. Supports the second-marriage finding RI-000062."
g13-family-wives-marriages,torrey-new-england-marriages-prior-1700,yes,supports,yes,,G13-RI-000062;G13-RI-000063,,,"Torrey, New England Marriages Prior to 1700, p.331: second-wife entry 'John (1603-1663) & 2/wf Grezell (Fletcher)(Jewell)(Griggs) Kibbee ... 12 Nov 1661 Braintree' (supports RI-000062); first-wife entry 'John (-1663) & 1/wf ? (-1661), b 1628, Weymouth' corroborates a first wife who died 1661 and a marriage before 1628 but leaves her unnamed (supports RI-000063)."
g13-family-wives-marriages,sprague-braintree,yes,supports,yes,,G13-RI-000063,,,"Sprague, Genealogies of the Families of Braintree, p.695: first wife Mary, maiden name treated as unknown. Supports the first-wife finding RI-000063."
g13-family-wives-marriages,shedd-daniel-shed-genealogy-1920,yes,supports,yes,,G13-RI-000063,,,"Shedd, Daniel Shed Genealogy: Daniel Shed (bapt. Finchingfield 1620) m. Mary Gurney Braintree 1647 - bounds the daughter's birth to by c.1628 and John and Mary's English marriage to the mid-1620s. Supports the first-wife finding RI-000063."
g13-family-wives-marriages,findmypast-england-marriages-gurney-mary-wildcard-sweep-2026-06,yes,negative_within_scope,yes,,G13-RI-000064,,,"Findmypast England Marriages wildcard sweep (G*rn* + Mary, 1620-1634, with/without groom John): no East Anglian John Gurney x Mary event. Grounds the unrecovered-English-marriage negative RI-000064."
g13-family-family-group,sprague-braintree,yes,supports,yes,,G13-RI-000065,,,"Sprague, Genealogies of the Families of Braintree, p.695, John Gurney entry: children Sarah, Mary, Richard, John, Peter (Sarah first, otherwise undocumented). Supports the reconstructed family-group roster finding RI-000065."
g13-family-family-group,history-of-weymouth,yes,supports,yes,,G13-RI-000065,,,"History of Weymouth (1923), vol.3 p.251, John Gurney family entry: same child roster on the Weymouth side. Supports the roster finding RI-000065."
g13-family-family-group,rigler-gurney-family-aaron-zuinglius-1994,yes,supports,yes,,G13-RI-000065,,,"Rigler, The Gurney Family from Aaron to Zuinglius, John Gurney-1 children entry: compiled roster. Supports the roster finding RI-000065. Local baseline captured at hash-sources (rev 55)."
g13-family-family-group,torrey-new-england-marriages-prior-1700,yes,supports,yes,sources/corpus_supplement/torrey-new-england-marriages-prior-1700-page-331-gurney.md,G13-RI-000066,,,"Torrey, New England Marriages Prior to 1700, p.331 Gurney block: one-page John1 family-group cross-check (John1 dates b.c.1603 d.1663; John Jr. Mendon household Ruth/John/Samuel/Mary). source_evidence RI-000066 SUPPORTS the roster RI-000065."
g13-family-family-group,familysearch-fulltext-search,yes,supports,yes,,G13-RI-000068,,,"Isaac Gurney court cluster via FamilySearch full-text: Plymouth court 1 Mar 1663/4 (Scituate pilfering); Suffolk County court file no.792, June 1667 (Boston commitment before Daniel Gookin). source_evidence RI-000068 SUPPORTS the Isaac by-elimination analysis RI-000067."
g13-family-family-group,shedd-daniel-shed-genealogy-1920,yes,cross_unit,yes,,G13-RI-000063,,,Prose cross-link only (no graph item in this unit): Daniel Shed x Mary Gurney 1647 places daughter Mary in the group and sets the childbearing window; canonical home g13-family-wives-marriages first-wife finding RI-000063. cross_unit exempts the prose-graph parity gate.
g13-family-family-group,bodge-soldiers-king-philips-war-1891,yes,cross_unit,yes,sources/corpus_supplement/bodge-soldiers-king-philips-war-1891-gurney-extracts.md,,,,Prose cross-link only (no graph item in this unit): Bodge p.114 'Peeter Gurnay' places Peter and John Jr. in the group; their war service and the post-1662 descendant stream are g13-family-mendon-descendants material (unstaged). cross_unit exempts the parity gate; journeys at the mendon-descendants increment.
g13-origin-age-baptism,nehgr-62-94,yes,supports,yes,sources/validations/nehgr-62-94.md,G13-RI-000070,,,"NEHGR vol.62 (1908) p.94, Suffolk Court Files no.188: 'John Gurney of Brayntree aged 50 Yeares or thereabouts', dated 17-1-[16]52-3. Carried as source_evidence RI-000069 (the age datum), which SUPPORTS the birth-window finding RI-000070. The same source's 'of Brayntree' residence bearing journeys separately on RI-000010 in g13-colonial-braintree-community."
g13-origin-age-baptism,nro-pd-86-41,yes,cross_unit,yes,sources/media/parish-register/,,,,"Prose cross-link only (no graph item in this unit): East Dereham register PD 86/41 image 00715 Entry E ('John son of ffrancis Gurnie', c.1609/10) supplies the younger birth-window reading weighed in analysis RI-000071. Canonical home is the identity/Candidate-B work (unstaged) plus the G14 Francis companion image apparatus; cross_unit exempts the prose-graph parity gate."
g13-origin-age-baptism,shedd-daniel-shed-genealogy-1920,yes,cross_unit,yes,https://archive.org/details/danielshedgeneal01shed,,,,"Prose citation carried without an in-unit item link: Daniel Shed's 1620 Finchingfield baptism + 1647 Braintree marriage to Mary Gurney bound John's marriage to the mid-1620s (adult by c.1625), the older-end handle on the birth window. Canonical home g13-family-wives-marriages first-wife finding RI-000063, reached here via RI-000070 DEPENDS_ON RI-000063; cross_unit exempts the parity gate."
g13-origin-trade-training,ukda-9263-mt-apprentices-scott-2024,yes,negative_within_scope,yes,sources/media/ukda-9263-merchant-taylors-apprentices/gurney-variants-extract.csv,G13-RI-000072;G13-RI-000088,,,"Scott 2024 (UKDA-SN-9263), full Merchant Taylors' binding/freedom transcription: no John-son-of-Francis binding to any MT master and zero Gurney patrimony freedoms across 1583-1800. Grounds negative_result RI-000072 (negative_within_scope). Origin surface is the un-frozen research/topics/merchant-taylors-1583-1800-gurney-analysis.md (outside the Plan 2b frozen inventory), so no legacy/supplemental row is due; the source journeys here via RI-000072. corpusPath repointed to the Gurney-variants extract CSV this pass so the artifact resolves and hash-baselines (validate 0/0). Also context_for RI-000088: Francis Gurney's own Merchant Taylor binding/freedom (father-son trade orientation)."
g13-origin-trade-training,millican-register-freemen-norwich-1934,yes,negative_within_scope,yes,sources/corpus_supplement/millican-norwich-freemen-apprentices-gurney-extracts.md,G13-RI-000073,,,"Register of the Freemen of Norwich 1548-1713: no John Gurney freedom admission c.1615-1660 (Gurney content otherwise Elizabethan + James Gurny freed 1648). Grounds negative_result RI-000073. From the frozen legacy block 'Online and full-text lead dispositions' (l.393), a ten-source multi-destination row left backlog and annotated; this source journeys via RI-000073."
g13-origin-trade-training,rising-millican-norwich-apprentices-index-nrs29-1959,yes,negative_within_scope,yes,sources/corpus_supplement/millican-norwich-freemen-apprentices-gurney-extracts.md,G13-RI-000073,,,"Index of Indentures of Norwich Apprentices (NRS 29, 1959): no enrolled John Gurney apprenticeship in the emigrant window; sole 17th-c Gurney is James s. Francis of St Peter Parmentergate (bound Michaelmas 1627). Grounds negative_result RI-000073. Same frozen legacy block (l.393) as millican; row stays backlog, annotated; this source journeys via RI-000073."
g13-origin-trade-training,winthrop-history-new-england-addenda-1636,yes,supports,yes,,G13-RI-000075,,,"Winthrop/Savage, History of New England Addenda p.422: the 21 July 1636 Newgate/Gurney apprentice order. Carried as analysis RI-000075 (the one enrolled 'John Gurney' apprenticeship, de-conflated from the emigrant on chronology). From the frozen legacy block 'The Newgate apprenticeship / 1636 record - de-conflated' (l.306); the trade-training bearing journeys here via RI-000075, the fuller de-conflation stays backlog -> identity."
